# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{134}Cd	48	134	-0.0271984	0.0113989	0.0114418	0.00543968	0.135992	-43.7276	29.9187	16.8603	0	200	-19.4895	20.6868	21.0545	0	200	0.615741	0.0514295	0.0316651	0	1
^{134}In	49	134	0.127402	0.0022464	0.0019747	0.0254804	0.63701	85.5775	4.31535	3.93242	0	200	11.9329	0.77512	1.26153	0	200	0.613025	0.0481446	0.0324083	0	1
^{133}In	49	133	0.165787	0.0033358	0.00352031	0.0331574	0.828935	89.3798	3.81045	5.01809	0	200	0	0	0	0	200	0.61319	0.048389	0.0324055	0	1
^{132}In	49	132	0.213875	0.0075952	0.0075894	0.042775	1.06937	12.2071	0.958698	0.93753	0	200	0	0	0	0	200	0.632768	0.0398482	0.0239489	0	1
^{134}Sn	50	134	1.0186	0.0333065	0.0343189	0.20372	5.093	24.1019	1.06473	1.42921	0	200	0	0	0	0	200	0.642283	0.0291302	0.0206364	0	1
^{133}Sn	50	133	1.42	0.06	0.06	0.284	7.1	0.0294	0.0024	0.0024	0	200	0	0	0	0	200	0.652234	0.019577	0.0196619	0	1
^{132}Sn	50	132	39.7	0.8	0.8	7.94	198.5	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sn	50	131	56	0.5	0.5	11.2	280	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Sb	51	134	0.675	0.006	0.006	0.135	3.375	0	0	0	0	200	0	0	0	0	200	0.651997	0.0195747	0.0196094	0	1
^{133}Sb	51	133	140.4	3	3	28.08	702	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Sb	51	132	167.4	4.2	4.2	33.48	837	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sb	51	131	1381.8	2.4	2.4	276.36	6909	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Te	52	134	2508	48	48	501.6	12540	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Te	52	133	750	18	18	150	3750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Te	52	132	276826	1123.2	1123.2	55365.1	1.38413e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Te	52	131	1500	6	6	300	7500	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}I	53	134	3150	12	12	630	15750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}I	53	133	74988	288	288	14997.6	374940	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}I	53	132	8262	46.8	46.8	1652.4	41310	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}I	53	131	693377	51.84	51.84	138675	3.46689e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Xe	54	133	453384	43.2	43.2	90676.8	2.26692e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
