# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{129}Ag	47	129	-0.0554212	0.00123412	0.00125325	0.0110842	0.277106	-19.8858	0.910818	1.95795	0	200	-25	0	0	0	200	0.630956	0.043983	0.0246077	0	1
^{129}Cd	48	129	0.1559	0.0013	0.0013	0.03118	0.7795	1.84	0.15	0.15	0	200	0	0	0	0	200	0.64794	0.0236617	0.0197813	0	1
^{128}Cd	48	128	0.243	0.011	0.011	0.0486	1.215	0	0	0	0	200	0	0	0	0	200	0.651608	0.0200654	0.0195561	0	1
^{127}Cd	48	127	0.34	0.03	0.03	0.068	1.7	0	0	0	0	200	0	0	0	0	200	0.651777	0.0196883	0.0195536	0	1
^{129}In	49	129	0.609	0.007	0.007	0.1218	3.045	0.23	0.1	0.1	0	200	0	0	0	0	200	0.648101	0.021001	0.0197569	0	1
^{128}In	49	128	0.84	0.06	0.06	0.168	4.2	0.0192	0.0036	0.0036	0	200	0	0	0	0	200	0.651608	0.0198672	0.0195647	0	1
^{127}In	49	127	1.087	0.011	0.011	0.2174	5.435	0.015	0.015	0.015	0	200	0	0	0	0	200	0.651682	0.0197746	0.0195555	0	1
^{129}Sn	50	129	133.8	2.4	2.4	26.76	669	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sn	50	128	3544.2	8.4	8.4	708.84	17721	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Sn	50	127	7560	144	144	1512	37800	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Sb	51	129	15717.6	93.6	93.6	3143.52	78588	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sb	51	128	32580	144	144	6516	162900	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Sb	51	127	332640	4320	4320	66528	1.6632e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Te	52	129	4194	18	18	838.8	20970	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Te	52	127	33660	252	252	6732	168300	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
