# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{131}Ag	47	131	-0.035	0.008	0.008	0.007	0.175	-50	0	0	0	200	-25	0	0	0	200	0.605077	0.0500439	0.0357565	0	1
^{131}Cd	48	131	0.100076	0.0014636	0.00150794	0.0200152	0.50038	13.6287	0.645845	1.13003	0	200	0	0	0	0	200	0.633234	0.0389788	0.0237894	0	1
^{130}Cd	48	130	0.135381	0.00106276	0.00105234	0.0270762	0.676905	2.92222	0.163597	0.223978	0	200	0	0	0	0	200	0.646216	0.0254753	0.0201224	0	1
^{129}Cd	48	129	0.1559	0.0013	0.0013	0.03118	0.7795	1.84	0.15	0.15	0	200	0	0	0	0	200	0.64794	0.0236617	0.0197813	0	1
^{131}In	49	131	0.27797	0.00638247	0.00645696	0.055594	1.38985	2.8474	0.306719	0.171141	0	200	0	0	0	0	200	0.644111	0.0273255	0.0204064	0	1
^{130}In	49	130	0.275	0.008	0.008	0.055	1.375	1.2	0.29	0.29	0	200	0	0	0	0	200	0.648055	0.021855	0.0197637	0	1
^{129}In	49	129	0.609	0.007	0.007	0.1218	3.045	0.23	0.1	0.1	0	200	0	0	0	0	200	0.648101	0.0210014	0.0197569	0	1
^{128}In	49	128	0.84	0.06	0.06	0.168	4.2	0.0192	0.0036	0.0036	0	200	0	0	0	0	200	0.651608	0.0198672	0.0195648	0	1
^{131}Sn	50	131	56	0.5	0.5	11.2	280	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sn	50	130	223.2	4.2	4.2	44.64	1116	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Sn	50	129	133.8	2.4	2.4	26.76	669	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sn	50	128	3544.2	8.4	8.4	708.84	17721	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Sn	50	127	7560	144	144	1512	37800	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sb	51	131	1381.8	2.4	2.4	276.36	6909	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sb	51	130	2370	48	48	474	11850	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Sb	51	129	15717.6	93.6	93.6	3143.52	78588	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sb	51	128	32580	144	144	6516	162900	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Sb	51	127	332640	4320	4320	66528	1.6632e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Te	52	131	1500	6	6	300	7500	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Te	52	129	4194	18	18	838.8	20970	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Te	52	127	33660	252	252	6732	168300	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}I	53	131	693377	51.84	51.84	138675	3.46689e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
