# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{135}In	49	135	-0.101	0.005	0.005	0.0202	0.505	-50	0	0	0	200	-25	0	0	0	200	0.610552	0.0461312	0.033315	0	1
^{135}Sn	50	135	0.516	0.005	0.005	0.1032	2.58	21	3	3	0	200	0	0	0	0	200	0.639276	0.0328765	0.021103	0	1
^{134}Sn	50	134	0.899	0.032	0.032	0.1798	4.495	17	13	13	0	200	0	0	0	0	200	0.642283	0.0291302	0.0206364	0	1
^{133}Sn	50	133	1.42	0.06	0.06	0.284	7.1	0.0294	0.0024	0.0024	0	200	0	0	0	0	200	0.652234	0.019577	0.0196618	0	1
^{135}Sb	51	135	1.668	0.01	0.01	0.3336	8.34	22.86	0.92	0.92	0	200	0	0	0	0	200	0.641648	0.0314707	0.020507	0	1
^{134}Sb	51	134	0.675	0.006	0.006	0.135	3.375	0	0	0	0	200	0	0	0	0	200	0.651997	0.0195747	0.0196094	0	1
^{133}Sb	51	133	140.4	3	3	28.08	702	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Sb	51	132	167.4	4.2	4.2	33.48	837	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}Te	52	135	19	0.2	0.2	3.8	95	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Te	52	134	2508	48	48	501.6	12540	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Te	52	133	750	18	18	150	3750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Te	52	132	276826	1123.2	1123.2	55365.1	1.38413e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}I	53	135	23688	108	108	4737.6	118440	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}I	53	134	3150	12	12	630	15750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}I	53	133	74988	288	288	14997.6	374940	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}I	53	132	8262	46.8	46.8	1652.4	41310	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}Xe	54	135	32904	72	72	6580.8	164520	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Xe	54	133	453384	43.2	43.2	90676.8	2.26692e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
