# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs Error Half-life	lowerHL	upperHL	P1n	Abs Error P1n	lowerP1n	upperP1n	P2n	Abs Error P2n	lowerP2n	upperP2n	isomer ratio	isomer ratio err	lower isomer ratio	upper isomer ratio	Half-life	Abs Error Half-life	lowerHL	upperHL	P1n	Abs Error P1n	lowerP1n	upperP1n	P2n	Abs Error P2n	lowerP2n	upperP2n    Neu.Eff	Neu.Eff Err	lowerNeu.Eff	upperNeu.Eff
^{133}In	49	133	-0.165	0.003	0.033	0.825	-85	10	0	200	-25	0	0	200	0.61603	0.0367815	0	1
^{133}Sn	50	133	1.42	0.06	0.284	7.1	0.0294	0.0024	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{132}Sn	50	132	39.7	0.8	7.94	198.5	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{131}Sn	50	131	56	0.5	11.2	280	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{133}Sb	51	133	140.4	3	28.08	702	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{132}Sb	51	132	167.4	4.2	33.48	837	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{131}Sb	51	131	1381.8	2.4	276.36	6909	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{133}Te	52	133	750	18	150	3750	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{132}Te	52	132	276826	1123.2	55365.1	1.38413e+06	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{131}Te	52	131	1500	6	300	7500	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{133}I	53	133	74988	288	14997.6	374940	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{132}I	53	132	8262	46.8	1652.4	41310	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{131}I	53	131	693377	51.84	138675	3.46689e+06	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
^{133}Xe	54	133	453384	43.2	90676.8	2.26692e+06	0	0	0	200	0	0	0	200	0.61603	0.0367815	0	1
