# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{137}Sn	50	137	-0.230833	0.00617378	0.00726294	0.0461666	1.15417	-22.8679	1.95754	2.32039	0	200	-0.455757	0.240784	0.232948	0	200	0.634429	0.0377667	0.0233405	0	1
^{137}Sb	51	137	0.492	0.025	0.025	0.0984	2.46	34.9	1.25	1.25	0	200	0.29	0.19	0.19	0	200	0.634376	0.0378386	0.0233684	0	1
^{136}Sb	51	136	0.923	0.014	0.014	0.1846	4.615	18.2	0.74	0.74	0	200	0.24	0.11	0.11	0	200	0.640256	0.0328599	0.0207487	0	1
^{135}Sb	51	135	1.668	0.01	0.01	0.3336	8.34	22.86	0.92	0.92	0	200	0	0	0	0	200	0.641648	0.0314707	0.020507	0	1
^{137}Te	52	137	2.51	0.05	0.05	0.502	12.55	2.91	0.16	0.16	0	200	0	0	0	0	200	0.649167	0.0207702	0.0196441	0	1
^{136}Te	52	136	17.67	0.09	0.09	3.534	88.35	1.37	0.05	0.05	0	200	0	0	0	0	200	0.651608	0.0198757	0.0195626	0	1
^{135}Te	52	135	19	0.2	0.2	3.8	95	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Te	52	134	2508	48	48	501.6	12540	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{137}I	53	137	24.59	0.1	0.1	4.918	122.95	7.63	0.14	0.14	0	200	0	0	0	0	200	0.650124	0.020779	0.0195807	0	1
^{136}I	53	136	83.4	1	1	16.68	417	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}I	53	135	23688	108	108	4737.6	118440	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}I	53	134	3150	12	12	630	15750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{137}Xe	54	137	229.08	0.78	0.78	45.816	1145.4	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}Xe	54	135	32904	72	72	6580.8	164520	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
